,id,down_time,up_time,action_time,event_id,cursor_position,word_count,total_duration,Input,"Move From [0, 158] To [234, 392]","Move From [0, 1] To [590, 591]","Move From [0, 75] To [1, 76]","Move From [1041, 1121] To [1496, 1576]","Move From [1061, 1126] To [1306, 1371]","Move From [114, 140] To [272, 298]","Move From [1144, 1147] To [1142, 1145]","Move From [13, 65] To [9, 61]","Move From [1306, 1371] To [1061, 1126]","Move From [134, 169] To [122, 157]","Move From [1361, 1362] To [1358, 1359]","Move From [1386, 1450] To [1445, 1509]","Move From [140, 272] To [299, 431]","Move From [1455, 1557] To [1323, 1425]","Move From [164, 165] To [153, 154]","Move From [1651, 1769] To [1565, 1683]","Move From [1766, 1968] To [1861, 2063]","Move From [186, 187] To [184, 185]","Move From [1861, 2063] To [1766, 1968]","Move From [2091, 2179] To [252, 340]","Move From [213, 302] To [902, 991]","Move From [218, 220] To [206, 208]","Move From [2268, 2275] To [2247, 2254]","Move From [274, 314] To [299, 339]","Move From [284, 292] To [282, 290]","Move From [287, 289] To [285, 287]","Move From [289, 355] To [562, 628]","Move From [382, 437] To [458, 513]","Move From [408, 414] To [390, 396]","Move From [442, 524] To [296, 378]","Move From [460, 461] To [465, 466]","Move From [460, 465] To [925, 930]","Move From [51, 86] To [109, 144]","Move From [565, 743] To [669, 847]","Move From [61, 136] To [0, 75]","Move From [623, 632] To [624, 633]","Move From [624, 625] To [845, 846]","Move From [669, 847] To [565, 743]","Move From [747, 960] To [1041, 1254]","Move From [75, 134] To [304, 363]","Move From [810, 906] To [816, 912]","Move From [905, 1314] To [907, 1316]","Move From [923, 1077] To [340, 494]","Move From [944, 1102] To [1050, 1208]","Move From [999, 1000] To [1000, 1001]",Nonproduction,Paste,Remove/Cut,Replace,down_event,up_event,text_change
0,001519c8,2168798234,2169095477,116.24677356276887,2557,1539,256,297243,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,417,7,357,357,2437
1,0022f953,1273271023,1273546414,112.22127139364304,2454,1676,323,275391,1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,1,260,1,391,391,2200
2,0042269b,3426641982,3427063183,101.8377659574468,4136,2291,404,421201,3515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,439,7,552,552,3961
3,0059420b,1222211589,1222401185,121.84832904884318,1556,1047,206,189596,1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,1,151,1,243,243,1457
4,0075873a,1805499474,1805813176,123.94389569340181,2531,1402,252,313702,1942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,517,0,324,324,2459
5,0081af50,1203533952,1203713937,81.40434192672998,2211,1445,275,179985,1794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,338,3,327,327,2135
6,0093f095,625365018,625558670,109.71784702549576,1765,1438,242,193652,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,148,0,257,257,1731
7,009e23ab,1147478786,1147692334,90.75563110922226,2353,1768,308,213548,1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,222,1,366,366,2198
8,00e048f1,1327623499,1327742392,75.01135646687698,1585,1308,223,118893,1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,118,0,245,245,1544
9,00e1f05a,6920981826,6921712330,93.34321492461028,7826,4110,739,730504,6145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,1446,7,1087,1087,7598
